EFPG_name,Metroregion_name,Purchase_grams_wtd,Date,Latitude,Longitude,Type
Alcohol,Boston-Cambridge-Newton  MA-NH,9786195567.0,2013-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,11729675002.0,2013-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10661780645.0,2013-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8246643389.0,2013-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8127574477.0,2013-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7526129776.0,2013-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7705034422.0,2013-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5631268880.0,2014-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,4930987924.0,2014-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5377055822.0,2014-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5810800738.0,2014-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7130058514.0,2014-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7603232475.0,2014-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8580991757.0,2014-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8759257469.0,2014-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6463980353.0,2014-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6089861357.0,2014-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7007807721.0,2014-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7213964144.0,2014-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5118420148.0,2015-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,4027850998.0,2015-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,4280980358.0,2015-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,4489835844.0,2015-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6010028209.0,2015-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6048945786.0,2015-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7232375920.0,2015-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6675782289.0,2015-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6020002285.0,2015-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6059643638.0,2015-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6561975519.0,2015-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7562674962.0,2015-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6853846026.0,2016-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7218469956.0,2016-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7801906597.0,2016-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7991296859.0,2016-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9701989326.0,2016-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10625546830.0,2016-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,11528396608.0,2016-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10537942750.0,2016-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9587002944.0,2016-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8527667875.0,2016-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8619770264.0,2016-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9078803200.0,2016-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8720112239.0,2017-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8231156010.0,2017-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7841433336.0,2017-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8653084528.0,2017-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9758067538.0,2017-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10546511944.0,2017-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,11532222956.0,2017-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10843621237.0,2017-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9439457750.0,2017-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9021871628.0,2017-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9268051556.0,2017-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,10229289474.0,2017-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6320594177.0,2018-01-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5756401780.0,2018-02-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6438085530.0,2018-03-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6367563112.0,2018-04-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7905842268.0,2018-05-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8266558958.0,2018-06-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,9304454172.0,2018-07-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,8483938483.0,2018-08-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7461575748.0,2018-09-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7115238919.0,2018-10-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,6858896801.0,2018-11-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,7155144080.0,2018-12-01,42.3601,-71.0589,Actual
Alcohol,Boston-Cambridge-Newton  MA-NH,5314879047.272556,2019-01-01,42.3601,-71.0589,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,4809237049.388134,2019-02-01,42.3601,-71.0589,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,5230249882.325867,2019-03-01,42.3601,-71.0589,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,5532351862.177038,2019-04-01,42.3601,-71.0589,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,7061535728.295274,2019-05-01,42.3601,-71.0589,Forecast
Alcohol,Boston-Cambridge-Newton  MA-NH,7530967177.287794,2019-06-01,42.3601,-71.0589,Forecast
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,23063102200.0,2012-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,21995429102.0,2012-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,25958415979.0,2012-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,25642709744.0,2012-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32186865731.0,2012-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32297625517.0,2012-06-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32515295559.0,2012-07-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,29648963539.0,2012-08-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26615628938.0,2012-09-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26811808186.0,2012-10-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,31036400904.0,2012-11-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,48035232815.0,2012-12-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,33386368841.0,2013-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,28314931746.0,2013-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26797820495.0,2013-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26066817544.0,2013-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,34218056378.0,2013-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,35194502239.0,2013-06-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,38109065277.0,2013-07-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,35451468045.0,2013-08-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,31315666956.0,2013-09-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,30134671742.0,2013-10-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,29982944640.0,2013-11-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32393204795.0,2013-12-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,18730812528.0,2014-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,16467963697.0,2014-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,18745321159.0,2014-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,20236299810.0,2014-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,25197296805.0,2014-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,25353446857.0,2014-06-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,25794939261.0,2014-07-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,24270105560.0,2014-08-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,40787559956.0,2014-09-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,45019991311.0,2014-10-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,46963387962.0,2014-11-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,47471754281.0,2014-12-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,28888575027.0,2015-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,21184189469.0,2015-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,24833796948.0,2015-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26699229961.0,2015-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32650722059.0,2015-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32677230073.0,2015-06-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,33877053493.0,2015-07-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,31263310227.0,2015-08-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,30073498999.0,2015-09-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,30669439211.0,2015-10-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,41091261396.0,2015-11-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,47439713982.0,2015-12-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26603993415.0,2016-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,28280868871.0,2016-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,26201942857.0,2016-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,27327875992.0,2016-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,33855571369.0,2016-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,35618940059.0,2016-06-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,35031196935.0,2016-07-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,33745588312.0,2016-08-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,30833573940.0,2016-09-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,29898595402.0,2016-10-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,33709258947.0,2016-11-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,38604006826.0,2016-12-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,29046167327.0,2017-01-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,30006805403.0,2017-02-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,32111659190.0,2017-03-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,34284567634.0,2017-04-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,37415629786.0,2017-05-01,41.8781,-87.6298,Actual
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,37590524727.0,2017-06-01,41.8781,-87.6298,Actual
