EFPG_name,Metroregion_name,Season,Latitude,Longitude,Purchase_grams_wtd
"Beef, pork, lamb, veal and game, fresh",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Fall,39.9526,-75.1652,106468935029.0
"Beef, pork, lamb, veal and game, fresh",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Spring,39.9526,-75.1652,111574770443.0
"Beef, pork, lamb, veal and game, fresh",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Summer,39.9526,-75.1652,108716772627.0
"Beef, pork, lamb, veal and game, fresh",Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Winter,39.9526,-75.1652,113107399207.0
Cheese and cream cheese,Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,41367033250.0
Cheese and cream cheese,Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,38437313020.0
Cheese and cream cheese,Atlanta-Sandy Springs-Roswell  GA,Summer,33.749,-84.388,38739226965.0
Cheese and cream cheese,Atlanta-Sandy Springs-Roswell  GA,Winter,33.749,-84.388,42350881398.0
Cheese and cream cheese,Boston-Cambridge-Newton  MA-NH,Fall,42.3601,-71.0589,46568356967.0
Cheese and cream cheese,Boston-Cambridge-Newton  MA-NH,Spring,42.3601,-71.0589,43285471711.0
Cheese and cream cheese,Boston-Cambridge-Newton  MA-NH,Summer,42.3601,-71.0589,43700936819.0
Cheese and cream cheese,Boston-Cambridge-Newton  MA-NH,Winter,42.3601,-71.0589,48271472600.0
Cheese and cream cheese,Chicago-Naperville-Elgin  IL-IN-WI,Fall,41.8781,-87.6298,75309831467.0
Cheese and cream cheese,Chicago-Naperville-Elgin  IL-IN-WI,Spring,41.8781,-87.6298,61506925929.0
Cheese and cream cheese,Chicago-Naperville-Elgin  IL-IN-WI,Summer,41.8781,-87.6298,57121620729.0
Cheese and cream cheese,Chicago-Naperville-Elgin  IL-IN-WI,Winter,41.8781,-87.6298,80185583168.0
Cheese and cream cheese,Dallas-Fort Worth-Arlington  TX,Fall,32.7767,-96.797,41430412283.0
Cheese and cream cheese,Dallas-Fort Worth-Arlington  TX,Spring,32.7767,-96.797,40506431657.0
Cheese and cream cheese,Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,40052409700.0
Cheese and cream cheese,Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,42704126343.0
Cheese and cream cheese,Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,32643906876.0
Cheese and cream cheese,Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,33069847229.0
Cheese and cream cheese,Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,31585777189.0
Cheese and cream cheese,Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,34907061088.0
Cheese and cream cheese,Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,35422666673.0
Cheese and cream cheese,Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,35712091885.0
Cheese and cream cheese,Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,34646513334.0
Cheese and cream cheese,Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,37373682019.0
Cheese and cream cheese,Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,76886892577.0
Cheese and cream cheese,Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,76961950580.0
Cheese and cream cheese,Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,75911956815.0
Cheese and cream cheese,Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,84239406184.0
Cheese and cream cheese,Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,40321630386.0
Cheese and cream cheese,Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,40906826987.0
Cheese and cream cheese,Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,37002586844.0
Cheese and cream cheese,Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,43861831417.0
Cheese and cream cheese,New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,143347905198.0
Cheese and cream cheese,New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,134862966735.0
Cheese and cream cheese,New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,125439895406.0
Cheese and cream cheese,New York-Newark-Jersey City  NY-NJ-PA,Winter,40.7128,-74.006,155481089803.0
Cheese and cream cheese,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Fall,39.9526,-75.1652,55138845874.0
Cheese and cream cheese,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Spring,39.9526,-75.1652,51294876309.0
Cheese and cream cheese,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Summer,39.9526,-75.1652,49464085439.0
Cheese and cream cheese,Philadelphia-Camden-Wilmington  PA-NJ-DE-MD,Winter,39.9526,-75.1652,57400099641.0
Egg and egg substitutes,Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,45748080482.0
Egg and egg substitutes,Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,45126605130.0
Egg and egg substitutes,Atlanta-Sandy Springs-Roswell  GA,Summer,33.749,-84.388,43620916730.0
Egg and egg substitutes,Atlanta-Sandy Springs-Roswell  GA,Winter,33.749,-84.388,48712225895.0
Egg and egg substitutes,Boston-Cambridge-Newton  MA-NH,Fall,42.3601,-71.0589,51788956129.0
Egg and egg substitutes,Boston-Cambridge-Newton  MA-NH,Spring,42.3601,-71.0589,51302952559.0
